,location,bedrooms,bathrooms,price,Bed/Bath
1691,"Westlands, Nairobi",4,2,165000,2.0
1692,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
1693,"Shanzu, Mombasa",1,1,55000,1.0
1694,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
1696,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
1697,"Kilimani, Nairobi",3,3,75000,1.0
1699,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
1700,"Westlands, Nairobi",2,2,100000,1.0
1701,"Vihiga road, Kileleshwa, Nairobi",3,3,100000,1.0
1702,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
1703,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
1704,"Kileleshwa, Nairobi",3,4,70000,0.75
1705,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
1706,"Kileleshwa, Nairobi",1,1,110000,1.0
1707,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
1708,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
1710,"Muthaiga, Nairobi",4,5,300000,0.8
1711,"Nyali, Mombasa",1,1,5000,1.0
1712,"Westlands, Nairobi",4,2,165000,2.0
1713,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
1714,"Shanzu, Mombasa",1,1,55000,1.0
1715,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
1717,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
1718,"Kilimani, Nairobi",3,3,75000,1.0
1720,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
1721,"Westlands, Nairobi",2,2,100000,1.0
1722,"Vihiga road, Kileleshwa, Nairobi",3,3,100000,1.0
1723,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
1724,"Kileleshwa, Nairobi",3,4,70000,0.75
1725,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
1726,"Kileleshwa, Nairobi",1,1,110000,1.0
1727,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
1728,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
1730,"Muthaiga, Nairobi",4,5,300000,0.8
1731,"Nyali, Mombasa",1,1,5000,1.0
1732,"Westlands, Nairobi",4,2,165000,2.0
1733,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
1734,"Shanzu, Mombasa",1,1,55000,1.0
1735,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
1737,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
1738,"Kilimani, Nairobi",3,3,75000,1.0
1740,"Shanzu, Mombasa",1,1,55000,1.0
1741,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
1742,"Westlands, Nairobi",2,2,100000,1.0
1743,"Vihiga road, Kileleshwa, Nairobi",3,3,100000,1.0
1744,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
1745,"Kileleshwa, Nairobi",3,4,70000,0.75
1746,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
1747,"Kileleshwa, Nairobi",1,1,110000,1.0
1748,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
1749,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
1751,"Muthaiga, Nairobi",4,5,300000,0.8
1752,"Nyali, Mombasa",1,1,5000,1.0
1753,"Westlands, Nairobi",4,2,165000,2.0
1754,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
1755,"Shanzu, Mombasa",1,1,55000,1.0
1756,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
1758,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
1759,"Kilimani, Nairobi",3,3,75000,1.0
1761,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
1762,"Kileleshwa, Nairobi",3,4,70000,0.75
1763,"Westlands, Nairobi",2,2,100000,1.0
1764,"Off Othaya road, Lavington, Nairobi",3,3,125000,1.0
1765,"Riverside Dr Nairobi, Riverside, Nairobi",3,3,200000,1.0
1766,"Kileleshwa, Nairobi",3,4,70000,0.75
1767,"Links Rd Mombasa, Nyali, Mombasa",3,2,38000,1.5
1768,"Kileleshwa, Nairobi",1,1,110000,1.0
1769,"Thika Rd Nairobi, Kahawa Wendani, Nairobi",4,2,57750,2.0
1770,"Kilimani, Nairobi",2,3,65000,0.6666666666666666
1772,"Muthaiga, Nairobi",4,5,300000,0.8
1773,"Nyali, Mombasa",1,1,5000,1.0
1774,"Westlands, Nairobi",4,2,165000,2.0
1775,"Kikuyu Town Bus park Kikuyu, Kikuyu, Kikuyu",3,3,55000,1.0
1776,"Shanzu, Mombasa",1,1,55000,1.0
1777,"Westlands downtown, Westlands, Nairobi",2,2,75000,1.0
1779,"Nyali, Mombasa",1,1,5000,1.0
1780,"Kileleshwa Nairobi, Kileleshwa, Nairobi",2,2,55000,1.0
1781,"Kilimani, Nairobi",3,3,75000,1.0
1783,"Grevillea Grove Spring Valley, Spring Valley, Nairobi",2,3,65000,0.6666666666666666
